88.0,90.0,88.0,61.0,,,14.0,11.0,,,24.0,,37.0,33.0,24.0,105.0,70.0
86.0,88.0,86.0,59.0,,,16.0,12.0,,,22.0,,35.0,31.0,22.0,103.0,68.0
91.0,93.0,90.0,63.0,,,18.0,12.0,,,26.0,,39.0,35.0,27.0,107.0,72.0
88.0,90.0,88.0,60.0,,,16.0,13.0,,,24.0,,37.0,33.0,24.0,104.0,70.0
87.0,89.0,86.0,58.0,,,14.0,16.0,,,22.0,,35.0,27.0,17.0,103.0,68.0
86.0,88.0,86.0,58.0,,,16.0,15.0,,,22.0,,35.0,29.0,20.0,102.0,68.0
74.0,76.0,73.0,46.0,,,26.0,26.0,,,9.0,,23.0,19.0,20.0,90.0,55.0
82.0,84.0,81.0,54.0,,,19.0,18.0,,,17.0,,31.0,24.0,15.0,98.0,63.0
83.0,85.0,82.0,55.0,,,18.0,16.0,,,18.0,,31.0,25.0,16.0,99.0,64.0
86.0,88.0,86.0,58.0,,,14.0,13.0,,,22.0,,35.0,29.0,21.0,102.0,67.0
90.0,92.0,89.0,62.0,,,14.0,7.0,,,25.0,,38.0,34.0,25.0,106.0,71.0
91.0,93.0,91.0,63.0,,,12.0,10.0,,,26.0,,40.0,32.0,23.0,107.0,72.0
90.0,92.0,89.0,62.0,,,13.0,9.0,,,25.0,,38.0,34.0,24.0,106.0,71.0
89.0,91.0,89.0,61.0,,,16.0,9.0,,,25.0,,38.0,34.0,25.0,105.0,71.0
88.0,90.0,88.0,61.0,,,12.0,12.0,,,24.0,,37.0,31.0,22.0,105.0,70.0
87.0,89.0,87.0,59.0,,,20.0,13.0,,,23.0,,36.0,32.0,25.0,103.0,69.0
86.0,88.0,85.0,58.0,,,16.0,14.0,,,21.0,,34.0,30.0,22.0,102.0,67.0
89.0,91.0,89.0,62.0,,,12.0,15.0,,,25.0,,38.0,30.0,21.0,106.0,71.0
82.0,84.0,81.0,54.0,,,19.0,17.0,,,17.0,,31.0,24.0,15.0,98.0,63.0
88.0,90.0,88.0,61.0,,,19.0,17.0,,,24.0,,37.0,33.0,24.0,105.0,70.0
87.0,89.0,86.0,59.0,,,18.0,16.0,,,22.0,,35.0,31.0,23.0,103.0,68.0
86.0,88.0,86.0,59.0,,,15.0,14.0,,,22.0,,35.0,29.0,20.0,103.0,68.0
89.0,91.0,89.0,61.0,,,13.0,12.0,,,24.0,,38.0,33.0,23.0,105.0,70.0
81.0,83.0,80.0,53.0,,,20.0,18.0,,,16.0,,30.0,25.0,19.0,97.0,62.0
81.0,83.0,81.0,54.0,,,20.0,19.0,,,17.0,,30.0,26.0,18.0,98.0,63.0
83.0,85.0,83.0,56.0,,,18.0,17.0,,,19.0,,32.0,26.0,17.0,100.0,65.0
90.0,92.0,90.0,62.0,,,14.0,9.0,,,26.0,,39.0,34.0,24.0,106.0,71.0
85.0,87.0,84.0,57.0,,,16.0,14.0,,,20.0,,34.0,29.0,20.0,101.0,66.0
90.0,92.0,89.0,62.0,,,14.0,7.0,,,25.0,,39.0,35.0,25.0,106.0,71.0
82.0,84.0,82.0,55.0,,,19.0,17.0,,,18.0,,31.0,27.0,20.0,99.0,64.0
85.0,87.0,85.0,57.0,,,16.0,14.0,,,21.0,,34.0,29.0,20.0,101.0,67.0
94.0,95.0,94.0,65.0,,,13.0,10.0,,,29.0,,43.0,34.0,24.0,111.0,75.0
94.0,91.0,93.0,66.0,,,16.0,6.0,,,29.0,,43.0,38.0,28.0,109.0,75.0
96.0,91.0,95.0,64.0,,,8.0,6.0,,,28.0,,45.0,32.0,23.0,109.0,73.0
94.0,91.0,94.0,67.0,,,14.0,7.0,,,30.0,,43.0,37.0,27.0,109.0,76.0
